Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
CHC,2017,5,82.0,0.0,6.0,108.34,92.0,46.0,42.0,46.0,114.0,16.0,4.0,402.0,1.0,11.0,3.48901606055012,9.470186450064611,3.8213033044120364
CHW,2017,5,86.0,1.0,3.0,97.33,71.0,43.0,40.0,40.0,99.0,9.0,4.0,349.0,4.0,9.0,3.698756806739957,9.154423096681393,3.698756806739957
CIN,2017,5,78.0,1.0,6.0,108.33,98.0,56.0,50.0,52.0,83.0,16.0,10.0,409.0,3.0,10.0,4.153973968429798,6.8955967875934645,4.32013292716699
CLE,2017,5,81.0,0.0,8.0,85.67,59.0,22.0,20.0,29.0,103.0,10.0,4.0,306.0,3.0,10.0,2.101085560873118,10.820590638496556,3.046574063266021
COL,2017,5,90.0,0.0,9.0,88.33,83.0,39.0,37.0,35.0,93.0,10.0,2.0,336.0,3.0,9.0,3.7699535831540816,9.475829276576475,3.566172308388996
DET,2017,5,75.0,0.0,6.0,80.99,68.0,36.0,32.0,26.0,74.0,14.0,1.0,307.0,6.0,4.0,3.555994567230522,8.223237436720584,2.889245585874799
HOU,2017,5,87.0,2.0,11.0,106.33,87.0,47.0,46.0,37.0,140.0,13.0,2.0,398.0,3.0,4.0,3.893538982413242,11.84990125082291,3.1317596162889116
KCR,2017,5,90.0,2.0,9.0,110.0,115.0,56.0,55.0,45.0,111.0,16.0,2.0,424.0,2.0,14.0,4.5,9.081818181818182,3.681818181818182
LAA,2017,5,85.0,0.0,5.0,88.99,66.0,35.0,32.0,33.0,100.0,7.0,2.0,318.0,4.0,6.0,3.2363186874929766,10.113495898415552,3.3374536464771327
LAD,2017,5,86.0,0.0,3.0,93.99,70.0,25.0,24.0,21.0,112.0,11.0,0.0,338.0,2.0,7.0,2.298116820938398,10.724545164379188,2.010852218321098
MIA,2017,5,91.0,0.0,3.0,94.33,98.0,59.0,51.0,49.0,98.0,9.0,9.0,371.0,6.0,6.0,4.865896321424786,9.350153715679,4.6750768578395
MIL,2017,5,96.0,3.0,8.0,106.32,98.0,54.0,48.0,45.0,100.0,11.0,6.0,399.0,4.0,12.0,4.063205417607224,8.465011286681717,3.809255079006772
MIN,2017,5,80.0,0.0,6.0,83.33,105.0,62.0,60.0,38.0,76.0,17.0,1.0,342.0,5.0,11.0,6.480259210368415,8.208328333133325,4.104164166566663
NYM,2017,5,107.0,3.0,5.0,114.66,120.0,65.0,61.0,54.0,113.0,16.0,7.0,447.0,3.0,6.0,4.788069073783359,8.869701726844584,4.238618524332811
NYY,2017,5,82.0,0.0,8.0,92.99,70.0,41.0,36.0,38.0,105.0,7.0,4.0,341.0,4.0,4.0,3.4842456178083667,10.162383051941069,3.67781481879772
PHI,2017,5,86.0,0.0,1.0,103.0,96.0,54.0,47.0,52.0,79.0,12.0,3.0,388.0,7.0,11.0,4.106796116504855,6.902912621359223,4.543689320388349
PIT,2017,5,89.0,0.0,4.0,112.33,113.0,43.0,41.0,39.0,112.0,10.0,3.0,439.0,3.0,8.0,3.284963945517671,8.973560046292175,3.124721801833882
SDP,2017,5,86.0,0.0,6.0,105.34,87.0,53.0,47.0,56.0,110.0,11.0,7.0,391.0,0.0,11.0,4.015568634896526,9.398139358268464,4.784507309663946
SEA,2017,5,96.0,1.0,6.0,103.34,92.0,49.0,45.0,33.0,92.0,18.0,5.0,393.0,4.0,7.0,3.9191019934197793,8.012386297658216,2.874008128507838
SFG,2017,5,89.0,0.0,9.0,86.01,81.0,34.0,31.0,40.0,72.0,3.0,8.0,322.0,4.0,11.0,3.2438088594349495,7.534007673526333,4.185559818625741
STL,2017,5,88.0,0.0,9.0,84.66,81.0,45.0,39.0,35.0,88.0,9.0,3.0,318.0,8.0,11.0,4.145995747696669,9.355067328136073,3.720765414599575
TBR,2017,5,96.0,3.0,11.0,113.0,100.0,61.0,56.0,50.0,99.0,12.0,2.0,419.0,8.0,8.0,4.460176991150442,7.88495575221239,3.9823008849557526
TEX,2017,5,86.0,2.0,7.0,100.02000000000001,107.0,62.0,58.0,48.0,82.0,16.0,4.0,390.0,6.0,7.0,5.218956208758248,7.378524295140971,4.319136172765447
TOR,2017,5,102.0,0.0,8.0,102.33,82.0,39.0,36.0,37.0,122.0,13.0,9.0,377.0,2.0,9.0,3.16622691292876,10.729991204925241,3.2541776605101145
WAS,2017,5,75.0,1.0,8.0,76.33,82.0,36.0,34.0,30.0,72.0,10.0,4.0,297.0,4.0,7.0,4.008908685968819,8.48945368793397,3.537272369972488
ARI,2017,6,79.0,1.0,7.0,78.66,69.0,30.0,24.0,29.0,79.0,6.0,0.0,297.0,6.0,3.0,2.745995423340961,9.038901601830663,3.3180778032036615
ATH,2017,6,88.0,0.0,8.0,96.99000000000001,106.0,63.0,61.0,32.0,102.0,20.0,6.0,384.0,3.0,5.0,5.660377358490566,9.46489328796783,2.9693782864212803
ATL,2017,6,91.0,0.0,7.0,90.33,85.0,40.0,37.0,35.0,90.0,11.0,6.0,348.0,3.0,5.0,3.6864828960478246,8.967120557954168,3.4872135503155097
BAL,2017,6,81.0,3.0,5.0,114.34,125.0,75.0,67.0,50.0,90.0,25.0,4.0,451.0,6.0,9.0,5.273744971138709,7.084135035857967,3.9356305754766487
BOS,2017,6,81.0,0.0,8.0,83.34,76.0,24.0,24.0,30.0,80.0,6.0,2.0,311.0,3.0,12.0,2.591792656587473,8.639308855291576,3.239740820734341
CHC,2017,6,87.0,0.0,7.0,85.33,70.0,36.0,35.0,30.0,101.0,10.0,4.0,316.0,2.0,5.0,3.6915504511895,10.652759873432556,3.1641861010195713
CHW,2017,6,89.0,0.0,4.0,96.33,104.0,63.0,59.0,45.0,93.0,13.0,4.0,379.0,7.0,10.0,5.512301463718467,8.688881968234195,4.204297726564933
CIN,2017,6,90.0,0.0,5.0,109.67,115.0,63.0,63.0,40.0,95.0,20.0,6.0,421.0,4.0,9.0,5.170055621409684,7.79611561958603,3.282574997720434
CLE,2017,6,88.0,0.0,3.0,90.66,74.0,39.0,33.0,30.0,102.0,12.0,2.0,335.0,2.0,8.0,3.2759761747187297,10.125744540039708,2.9781601588352085
COL,2017,6,88.0,0.0,7.0,89.0,90.0,54.0,53.0,37.0,92.0,15.0,4.0,343.0,2.0,8.0,5.359550561797753,9.303370786516854,3.741573033707865
DET,2017,6,73.0,0.0,2.0,78.01,83.0,48.0,48.0,35.0,61.0,11.0,3.0,294.0,4.0,13.0,5.537751570311498,7.037559287270863,4.037943853352134
HOU,2017,6,95.0,1.0,5.0,102.34,87.0,59.0,58.0,32.0,138.0,13.0,3.0,389.0,0.0,5.0,5.100644909126442,12.136017197576704,2.8141489153801054
KCR,2017,6,69.0,0.0,6.0,77.0,80.0,39.0,33.0,27.0,69.0,4.0,1.0,301.0,0.0,7.0,3.8571428571428568,8.064935064935064,3.155844155844156
LAA,2017,6,91.0,0.0,4.0,92.67,82.0,39.0,37.0,22.0,99.0,11.0,1.0,356.0,3.0,2.0,3.5933959210100355,9.614762058918744,2.136613790870832
LAD,2017,6,83.0,0.0,11.0,87.34,74.0,36.0,35.0,33.0,99.0,14.0,3.0,334.0,1.0,1.0,3.6065949164185938,10.201511335012594,3.4005037783375314
MIA,2017,6,101.0,2.0,7.0,103.63999999999999,111.0,58.0,56.0,39.0,105.0,7.0,2.0,404.0,4.0,9.0,4.862987263604786,9.118101119258974,3.386723272867619
MIL,2017,6,93.0,2.0,11.0,109.33,98.0,64.0,59.0,55.0,107.0,20.0,4.0,416.0,7.0,8.0,4.856855391932681,8.808195371810116,4.527577060276228
MIN,2017,6,84.0,0.0,8.0,104.33,111.0,55.0,47.0,32.0,75.0,13.0,5.0,410.0,5.0,4.0,4.054442633949966,6.469855266941436,2.7604715805616795
NYM,2017,6,79.0,1.0,6.0,89.66,99.0,51.0,50.0,41.0,105.0,13.0,3.0,360.0,7.0,4.0,5.018960517510596,10.539817086772251,4.115547624358689
NYY,2017,6,78.0,1.0,3.0,88.34,75.0,46.0,43.0,44.0,101.0,12.0,4.0,330.0,2.0,7.0,4.380801448947249,10.28978944985284,4.482680552411138
PHI,2017,6,82.0,0.0,5.0,84.33,98.0,53.0,50.0,34.0,91.0,8.0,4.0,331.0,5.0,8.0,5.3361792956243335,9.711846318036285,3.6286019210245466
PIT,2017,6,89.0,0.0,3.0,87.0,84.0,49.0,46.0,32.0,79.0,11.0,5.0,331.0,3.0,7.0,4.758620689655173,8.172413793103448,3.310344827586207
SDP,2017,6,83.0,0.0,8.0,84.67,77.0,47.0,44.0,21.0,102.0,14.0,7.0,313.0,2.0,10.0,4.676981221211763,10.842092830990905,2.232195582851069
SEA,2017,6,73.0,0.0,4.0,84.69,82.0,46.0,36.0,35.0,86.0,17.0,5.0,326.0,3.0,9.0,3.8257173219978746,9.139213602550479,3.7194473963868226
SFG,2017,6,82.0,0.0,2.0,86.99,97.0,53.0,52.0,36.0,84.0,12.0,2.0,342.0,3.0,8.0,5.379928727439935,8.690654098172205,3.7245660420738016
STL,2017,6,87.0,0.0,6.0,94.33,87.0,42.0,41.0,24.0,87.0,14.0,5.0,353.0,3.0,6.0,3.911799003498357,8.300646665959928,2.2898335630234286
TBR,2017,6,68.0,0.0,9.0,80.67,92.0,50.0,48.0,29.0,87.0,12.0,5.0,326.0,6.0,2.0,5.355150613611007,9.706210487169951,3.235403495723317
