Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
SFG,2018,9,91.0,1.0,3.0,86.99,84.0,45.0,45.0,35.0,98.0,7.0,2.0,328.0,7.0,8.0,4.655707552592252,10.139096447867573,3.621105874238418
STL,2018,9,108.0,1.0,6.0,103.34,109.0,69.0,57.0,71.0,107.0,14.0,3.0,399.0,10.0,11.0,4.9641958583317205,9.318753628798142,6.183472034062318
TBR,2018,9,115.0,2.0,12.0,163.34,155.0,86.0,83.0,54.0,149.0,22.0,8.0,618.0,4.0,17.0,4.573282723154157,8.20986898493939,2.9753887596424633
TEX,2018,9,109.0,9.0,6.0,135.34,135.0,75.0,65.0,62.0,109.0,18.0,3.0,524.0,4.0,17.0,4.322447170090143,7.248411408305009,4.122949608393675
TOR,2018,9,108.0,0.0,7.0,94.01,95.0,52.0,48.0,44.0,99.0,13.0,7.0,367.0,1.0,6.0,4.595255823848527,9.477715136687586,4.212317838527816
WAS,2018,9,122.0,4.0,6.0,119.0,105.0,67.0,65.0,68.0,107.0,20.0,8.0,446.0,9.0,8.0,4.915966386554621,8.092436974789916,5.142857142857142
ARI,2019,4,87.0,0.0,10.0,108.01,100.0,51.0,48.0,44.0,106.0,17.0,12.0,407.0,3.0,7.0,3.999629663920007,8.832515507823349,3.666327191926673
ATH,2019,4,117.0,0.0,6.0,121.66,109.0,58.0,56.0,53.0,128.0,11.0,5.0,449.0,3.0,6.0,4.1426927502876865,9.469012000657571,3.920762781522275
ATL,2019,4,104.0,0.0,6.0,95.34,87.0,59.0,51.0,61.0,103.0,16.0,6.0,359.0,5.0,11.0,4.814348646947765,9.72309628697294,5.758338577721837
BAL,2019,4,78.0,0.0,4.0,100.0,113.0,75.0,72.0,46.0,87.0,26.0,9.0,396.0,1.0,10.0,6.4799999999999995,7.83,4.140000000000001
BOS,2019,4,106.0,3.0,8.0,120.01,104.0,64.0,59.0,58.0,136.0,18.0,6.0,448.0,2.0,9.0,4.424631280726606,10.19915007082743,4.349637530205816
CHC,2019,4,96.0,1.0,5.0,98.01,83.0,49.0,46.0,60.0,100.0,12.0,2.0,355.0,2.0,19.0,4.224058769513315,9.182736455463727,5.509641873278236
CHW,2019,4,92.0,2.0,7.0,104.0,90.0,51.0,47.0,48.0,103.0,16.0,5.0,388.0,4.0,7.0,4.0673076923076925,8.913461538461538,4.153846153846154
CIN,2019,4,110.0,0.0,8.0,99.66999999999999,88.0,39.0,38.0,44.0,101.0,7.0,4.0,368.0,9.0,11.0,3.4313233671114682,9.120096317848903,3.9731112671817
CLE,2019,4,91.0,0.0,10.0,84.67,76.0,34.0,31.0,32.0,84.0,10.0,4.0,321.0,2.0,4.0,3.295145860399197,8.928782331404276,3.40144088815401
COL,2019,4,109.0,3.0,4.0,117.67,110.0,56.0,53.0,54.0,100.0,13.0,4.0,443.0,5.0,10.0,4.053709526642304,7.648508540834538,4.1301946120506505
DET,2019,4,98.0,2.0,12.0,101.0,99.0,52.0,51.0,45.0,102.0,15.0,5.0,381.0,4.0,10.0,4.544554455445544,9.089108910891088,4.00990099009901
HOU,2019,4,76.0,0.0,9.0,82.33,62.0,28.0,27.0,24.0,84.0,8.0,2.0,295.0,0.0,3.0,2.951536499453419,9.182557998299526,2.6235879995141502
KCR,2019,4,96.0,0.0,4.0,97.34,106.0,58.0,58.0,52.0,95.0,11.0,10.0,379.0,1.0,10.0,5.3626463940825975,8.783644955824943,4.807889870556812
LAA,2019,4,109.0,4.0,7.0,131.0,112.0,60.0,58.0,67.0,138.0,17.0,8.0,490.0,3.0,12.0,3.984732824427481,9.48091603053435,4.603053435114504
LAD,2019,4,109.0,1.0,10.0,110.67,99.0,61.0,55.0,36.0,106.0,18.0,10.0,417.0,4.0,10.0,4.472756844673353,8.620222282461372,2.927622661968013
MIA,2019,4,96.0,0.0,5.0,97.0,90.0,59.0,57.0,46.0,115.0,18.0,11.0,371.0,4.0,6.0,5.288659793814433,10.670103092783505,4.268041237113402
MIL,2019,4,105.0,2.0,9.0,128.32,106.0,66.0,64.0,64.0,139.0,18.0,1.0,482.0,6.0,3.0,4.488778054862843,9.749064837905237,4.488778054862843
MIN,2019,4,83.0,0.0,10.0,81.0,77.0,44.0,39.0,41.0,85.0,10.0,5.0,311.0,1.0,5.0,4.333333333333333,9.444444444444445,4.555555555555555
NYM,2019,4,90.0,0.0,9.0,107.67,111.0,73.0,63.0,55.0,118.0,16.0,10.0,426.0,5.0,10.0,5.266090833101142,9.863471719141822,4.597380886040679
NYY,2019,4,89.0,0.0,6.0,95.0,85.0,52.0,50.0,51.0,114.0,13.0,3.0,359.0,2.0,8.0,4.7368421052631575,10.799999999999999,4.831578947368421
PHI,2019,4,97.0,0.0,6.0,99.33,102.0,52.0,47.0,37.0,99.0,13.0,6.0,382.0,3.0,8.0,4.25853216550891,8.970099667774086,3.3524614919963756
PIT,2019,4,83.0,0.0,9.0,84.68,78.0,43.0,39.0,34.0,107.0,12.0,2.0,331.0,0.0,4.0,4.145016532829476,11.372224846480869,3.6136041568256965
SDP,2019,4,99.0,0.0,15.0,110.64999999999999,94.0,49.0,45.0,38.0,126.0,19.0,5.0,416.0,0.0,5.0,3.6601897876186174,10.248531405332129,3.090826931766833
SEA,2019,4,119.0,0.0,13.0,125.30999999999999,123.0,85.0,74.0,72.0,135.0,25.0,7.0,492.0,5.0,13.0,5.314819248264305,9.695954033995692,5.171175484797702
SFG,2019,4,92.0,0.0,8.0,105.67,91.0,40.0,39.0,32.0,100.0,9.0,3.0,390.0,4.0,8.0,3.321661777231002,8.517081480079494,2.7254660736254372
STL,2019,4,105.0,0.0,12.0,106.30999999999999,67.0,46.0,44.0,52.0,124.0,19.0,7.0,374.0,1.0,11.0,3.724955319349074,10.497601354529207,4.402219922867087
TBR,2019,4,92.0,1.0,12.0,113.0,101.0,46.0,45.0,43.0,124.0,11.0,3.0,421.0,6.0,12.0,3.584070796460177,9.876106194690266,3.4247787610619467
TEX,2019,4,94.0,4.0,7.0,129.66,143.0,81.0,77.0,60.0,111.0,25.0,10.0,509.0,1.0,13.0,5.344747801943544,7.704766311892643,4.164738546968996
TOR,2019,4,98.0,1.0,8.0,111.33,84.0,50.0,48.0,46.0,124.0,15.0,6.0,407.0,7.0,5.0,3.8803556992724335,10.024252223120452,3.7186742118027487
WAS,2019,4,102.0,0.0,3.0,82.66,85.0,57.0,54.0,42.0,92.0,11.0,10.0,321.0,4.0,5.0,5.879506411807403,10.016936849745948,4.572949431405759
ARI,2019,5,100.0,3.0,5.0,112.68,129.0,65.0,63.0,47.0,110.0,13.0,5.0,445.0,5.0,9.0,5.031948881789137,8.78594249201278,3.7539936102236418
ATH,2019,5,98.0,2.0,5.0,107.99,90.0,48.0,47.0,43.0,113.0,12.0,6.0,394.0,3.0,9.0,3.917029354569868,9.417538660987129,3.5836651541809426
ATL,2019,5,91.0,0.0,8.0,100.33,100.0,54.0,49.0,41.0,103.0,18.0,3.0,393.0,3.0,8.0,4.395494866939101,9.239509618259742,3.6778630519286355
BAL,2019,5,79.0,2.0,6.0,103.01,95.0,65.0,60.0,52.0,103.0,15.0,5.0,386.0,2.0,12.0,5.242209494223861,8.999126298417629,4.5432482283273465
BOS,2019,5,94.0,7.0,4.0,128.99,113.0,67.0,65.0,51.0,134.0,15.0,7.0,490.0,2.0,5.0,4.53523528955733,9.349561981548957,3.5584153810372894
CHC,2019,5,92.0,0.0,6.0,91.99,81.0,38.0,36.0,42.0,85.0,10.0,3.0,342.0,4.0,8.0,3.5221219697793242,8.316121317534515,4.109142298075878
CHW,2019,5,92.0,1.0,5.0,100.64999999999999,90.0,46.0,38.0,50.0,90.0,11.0,3.0,382.0,3.0,11.0,3.397913561847988,8.04769001490313,4.470938897168406
CIN,2019,5,93.0,0.0,6.0,103.0,90.0,48.0,45.0,29.0,119.0,16.0,2.0,388.0,3.0,8.0,3.932038834951456,10.398058252427184,2.5339805825242716
CLE,2019,5,91.0,0.0,6.0,88.68,87.0,36.0,32.0,16.0,89.0,12.0,5.0,346.0,2.0,5.0,3.2476319350473615,9.032476319350474,1.6238159675236807
COL,2019,5,97.0,0.0,5.0,97.68,100.0,57.0,53.0,42.0,92.0,14.0,3.0,383.0,3.0,11.0,4.883292383292383,8.476658476658475,3.8697788697788695
DET,2019,5,99.0,0.0,6.0,108.66,116.0,75.0,68.0,48.0,80.0,26.0,5.0,425.0,3.0,13.0,5.632247377139701,6.6261733848702375,3.9757040309221425
HOU,2019,5,74.0,0.0,9.0,87.67,67.0,29.0,28.0,31.0,96.0,11.0,3.0,323.0,0.0,3.0,2.8744154214668645,9.855138587886392,3.182388502338314
KCR,2019,5,68.0,2.0,2.0,88.66,92.0,44.0,44.0,29.0,75.0,15.0,4.0,344.0,1.0,9.0,4.4665012406947895,7.613354387547936,2.943830363185202
LAA,2019,5,95.0,6.0,7.0,128.68,120.0,64.0,62.0,46.0,138.0,23.0,5.0,504.0,1.0,6.0,4.3363382032949955,9.651849549269505,3.217283183089835
LAD,2019,5,74.0,0.0,9.0,66.0,66.0,43.0,36.0,23.0,61.0,10.0,6.0,261.0,0.0,4.0,4.909090909090908,8.318181818181818,3.1363636363636367
MIA,2019,5,75.0,0.0,8.0,82.0,87.0,51.0,49.0,51.0,82.0,10.0,4.0,319.0,5.0,10.0,5.378048780487805,9.0,5.597560975609756
MIL,2019,5,96.0,4.0,7.0,128.67000000000002,120.0,70.0,63.0,47.0,144.0,20.0,6.0,497.0,4.0,11.0,4.406621590114245,10.072277920261131,3.2874795989741195
MIN,2019,5,81.0,0.0,5.0,83.66,82.0,39.0,39.0,21.0,89.0,11.0,5.0,326.0,0.0,4.0,4.195553430552235,9.574468085106382,2.2591441549127422
NYM,2019,5,78.0,0.0,6.0,82.0,75.0,37.0,37.0,37.0,76.0,9.0,3.0,307.0,7.0,6.0,4.060975609756098,8.341463414634147,4.060975609756098
NYY,2019,5,92.0,3.0,14.0,116.0,92.0,42.0,37.0,36.0,133.0,12.0,7.0,428.0,0.0,9.0,2.870689655172414,10.318965517241379,2.793103448275862
PHI,2019,5,88.0,1.0,9.0,93.67,84.0,48.0,44.0,44.0,97.0,19.0,5.0,354.0,6.0,5.0,4.227607558449877,9.319953026582684,4.227607558449877
PIT,2019,5,94.0,3.0,7.0,115.0,129.0,85.0,81.0,58.0,117.0,24.0,9.0,454.0,4.0,14.0,6.339130434782609,9.156521739130433,4.539130434782608
SDP,2019,5,87.0,1.0,10.0,90.34,90.0,54.0,51.0,28.0,106.0,14.0,4.0,354.0,1.0,4.0,5.080805844587116,10.560106265220279,2.789462032322338
SEA,2019,5,89.0,0.0,2.0,100.0,108.0,74.0,65.0,55.0,117.0,18.0,3.0,397.0,4.0,8.0,5.8500000000000005,10.53,4.95
SFG,2019,5,93.0,2.0,6.0,108.67,101.0,69.0,63.0,43.0,116.0,20.0,14.0,419.0,2.0,8.0,5.217631361001196,9.607067267875218,3.561240452746848
STL,2019,5,81.0,0.0,2.0,85.34,74.0,41.0,41.0,33.0,97.0,9.0,3.0,315.0,5.0,7.0,4.323880946801031,10.229669557065852,3.480196859620342
TBR,2019,5,88.0,3.0,5.0,134.0,104.0,46.0,41.0,51.0,122.0,12.0,9.0,487.0,4.0,13.0,2.753731343283582,8.194029850746269,3.425373134328358
TEX,2019,5,96.0,13.0,6.0,146.99,163.0,94.0,82.0,54.0,127.0,18.0,4.0,585.0,2.0,15.0,5.020749710864685,7.776039186339206,3.306347370569426
TOR,2019,5,99.0,2.0,3.0,121.32,134.0,76.0,71.0,57.0,125.0,23.0,5.0,486.0,5.0,6.0,5.26706231454006,9.27299703264095,4.2284866468842734
WAS,2019,5,94.0,3.0,9.0,103.01,127.0,88.0,83.0,46.0,96.0,21.0,11.0,427.0,6.0,6.0,7.251723133676342,8.387535190758179,4.01902727890496
ARI,2019,6,88.0,2.0,3.0,106.33,98.0,63.0,60.0,41.0,87.0,11.0,2.0,400.0,6.0,8.0,5.078529107495533,7.363867205868523,3.470328223455281
ATH,2019,6,88.0,1.0,7.0,96.67,89.0,45.0,39.0,32.0,98.0,11.0,5.0,365.0,2.0,8.0,3.630909278990379,9.123823316437365,2.979207613530568
ATL,2019,6,101.0,1.0,10.0,113.68,97.0,48.0,32.0,38.0,119.0,13.0,5.0,425.0,5.0,10.0,2.533427163969036,9.42118226600985,3.00844475721323
BAL,2019,6,82.0,2.0,3.0,110.33,129.0,93.0,84.0,51.0,113.0,25.0,9.0,451.0,0.0,8.0,6.852170760445935,9.21780114202846,4.160246533127889
BOS,2019,6,104.0,1.0,5.0,115.34,119.0,69.0,64.0,55.0,150.0,17.0,10.0,449.0,5.0,6.0,4.993930986648171,11.704525749956648,4.291659441650772
CHC,2019,6,87.0,2.0,8.0,92.0,85.0,49.0,47.0,38.0,87.0,13.0,8.0,340.0,2.0,15.0,4.597826086956522,8.51086956521739,3.717391304347826
CHW,2019,6,86.0,1.0,8.0,83.01,93.0,60.0,57.0,34.0,77.0,13.0,3.0,328.0,2.0,7.0,6.179978315865558,8.348391760028912,3.6863028550777015
CIN,2019,6,77.0,0.0,6.0,77.34,60.0,34.0,33.0,42.0,83.0,11.0,1.0,281.0,3.0,5.0,3.8401861908456167,9.658650116369278,4.887509697439876
CLE,2019,6,88.0,1.0,8.0,82.66,78.0,42.0,40.0,35.0,93.0,13.0,4.0,315.0,2.0,2.0,4.3551899346721505,10.12581659811275,3.8107911928381326
COL,2019,6,94.0,0.0,7.0,98.34,100.0,66.0,60.0,33.0,98.0,18.0,5.0,387.0,2.0,8.0,5.491153142159853,8.96888346552776,3.0201342281879198
DET,2019,6,90.0,1.0,4.0,94.66,100.0,61.0,47.0,44.0,91.0,15.0,3.0,374.0,3.0,4.0,4.46862455102472,8.652017747728713,4.183393196703993
HOU,2019,6,85.0,0.0,3.0,97.99,97.0,64.0,61.0,36.0,101.0,24.0,3.0,381.0,0.0,4.0,5.602612511480763,9.276456781304216,3.306459842841106
KCR,2019,6,72.0,0.0,9.0,82.67,82.0,47.0,44.0,37.0,83.0,11.0,5.0,319.0,3.0,5.0,4.7901294302649084,9.035925970726986,4.028063384540946
LAA,2019,6,97.0,7.0,6.0,129.32999999999998,132.0,77.0,69.0,52.0,131.0,25.0,6.0,510.0,0.0,11.0,4.801670146137788,9.116214335421018,3.6186499652052895
LAD,2019,6,77.0,2.0,7.0,91.66,66.0,41.0,31.0,34.0,99.0,10.0,4.0,339.0,5.0,5.0,3.043857735108008,9.720706960506218,3.3384246126991055
MIA,2019,6,87.0,0.0,6.0,95.0,88.0,54.0,50.0,35.0,89.0,14.0,4.0,358.0,3.0,8.0,4.7368421052631575,8.431578947368422,3.31578947368421
MIL,2019,6,86.0,3.0,9.0,116.66,100.0,57.0,53.0,43.0,137.0,10.0,6.0,429.0,4.0,12.0,4.08880507457569,10.56917538145037,3.3173324189953712
MIN,2019,6,87.0,0.0,9.0,94.99000000000001,93.0,52.0,43.0,36.0,87.0,13.0,9.0,373.0,3.0,7.0,4.074113064533108,8.242972944520474,3.4108853563533
NYM,2019,6,76.0,0.0,4.0,83.67,103.0,71.0,70.0,41.0,93.0,20.0,7.0,343.0,4.0,3.0,7.529580494801003,10.003585514521333,4.410182861240588
NYY,2019,6,93.0,5.0,9.0,119.66,131.0,74.0,68.0,40.0,125.0,27.0,4.0,475.0,2.0,15.0,5.11449105799766,9.401637974260405,3.0085241517633294
PHI,2019,6,90.0,4.0,6.0,96.99,116.0,70.0,66.0,45.0,96.0,23.0,2.0,390.0,4.0,11.0,6.124342715743891,8.908134859263843,4.175688215279926
PIT,2019,6,84.0,1.0,5.0,103.33,93.0,56.0,52.0,61.0,113.0,16.0,8.0,395.0,3.0,5.0,4.529178360592278,9.842252975902449,5.313074615310171
SDP,2019,6,94.0,3.0,7.0,119.64999999999999,133.0,79.0,73.0,37.0,119.0,18.0,6.0,477.0,4.0,6.0,5.491015461763477,8.95110739657334,2.783117425825324
SEA,2019,6,95.0,9.0,5.0,152.0,147.0,93.0,86.0,66.0,125.0,24.0,6.0,583.0,7.0,16.0,5.092105263157895,7.401315789473684,3.9078947368421053
SFG,2019,6,86.0,0.0,8.0,90.67,84.0,40.0,38.0,31.0,86.0,10.0,2.0,341.0,3.0,8.0,3.771920149994485,8.536450865776994,3.0770927539428694
STL,2019,6,85.0,1.0,8.0,89.34,73.0,41.0,35.0,29.0,88.0,8.0,5.0,329.0,1.0,6.0,3.5258562793821353,8.865010073875084,2.921423774345198
TBR,2019,6,89.0,1.0,2.0,116.32,108.0,54.0,50.0,39.0,109.0,14.0,6.0,445.0,6.0,12.0,3.8686382393397523,8.43363136176066,3.017537826685007
TEX,2019,6,75.0,3.0,7.0,101.01,88.0,44.0,37.0,33.0,113.0,15.0,3.0,376.0,1.0,12.0,3.2967032967032965,10.068310068310067,2.94030294030294
TOR,2019,6,96.0,5.0,3.0,122.66,137.0,81.0,75.0,55.0,131.0,26.0,7.0,490.0,2.0,9.0,5.50301646828632,9.611935431273439,4.035545410076635
WAS,2019,6,79.0,0.0,10.0,73.33,65.0,38.0,37.0,30.0,73.0,7.0,3.0,274.0,0.0,9.0,4.541115505250239,8.959498159007229,3.6819855447974907
ARI,2019,7,75.0,0.0,7.0,71.67,63.0,40.0,39.0,33.0,85.0,10.0,1.0,264.0,2.0,5.0,4.897446630389284,10.673922143156132,4.143993302637087
ATH,2019,7,92.0,0.0,7.0,87.68,80.0,37.0,36.0,37.0,87.0,10.0,4.0,335.0,2.0,6.0,3.6952554744525545,8.930200729927007,3.7979014598540144
ATL,2019,7,78.0,0.0,6.0,75.0,79.0,48.0,48.0,47.0,72.0,15.0,3.0,292.0,4.0,8.0,5.76,8.64,5.640000000000001
BAL,2019,7,75.0,1.0,7.0,95.0,86.0,56.0,52.0,45.0,86.0,13.0,5.0,365.0,2.0,8.0,4.926315789473684,8.147368421052631,4.263157894736842
BOS,2019,7,94.0,1.0,4.0,89.0,91.0,61.0,53.0,46.0,105.0,11.0,5.0,348.0,3.0,2.0,5.359550561797753,10.617977528089888,4.651685393258427
CHC,2019,7,84.0,1.0,7.0,76.0,75.0,44.0,41.0,28.0,64.0,12.0,8.0,293.0,2.0,10.0,4.855263157894737,7.578947368421052,3.31578947368421
CHW,2019,7,80.0,2.0,3.0,92.0,92.0,51.0,41.0,38.0,70.0,15.0,2.0,348.0,1.0,21.0,4.010869565217391,6.847826086956522,3.717391304347826
CIN,2019,7,80.0,1.0,9.0,87.66,86.0,68.0,62.0,44.0,92.0,20.0,4.0,336.0,3.0,6.0,6.365503080082135,9.445585215605751,4.517453798767968
CLE,2019,7,71.0,0.0,6.0,74.68,53.0,18.0,15.0,20.0,72.0,7.0,3.0,269.0,0.0,6.0,1.8077129084092123,8.67702196036422,2.4102838778789497
COL,2019,7,76.0,0.0,3.0,86.33,107.0,70.0,66.0,37.0,77.0,18.0,5.0,355.0,0.0,8.0,6.880574539557512,8.027336962817097,3.857291787327696
DET,2019,7,95.0,1.0,,105.33,103.0,65.0,59.0,42.0,103.0,17.0,2.0,407.0,3.0,6.0,5.041298775277698,8.800911421247509,3.588721162062091
HOU,2019,7,79.0,2.0,7.0,82.00999999999999,80.0,48.0,42.0,31.0,94.0,13.0,1.0,323.0,0.0,5.0,4.609194000731619,10.315815144494575,3.402024143397147
KCR,2019,7,74.0,1.0,10.0,84.99,104.0,58.0,48.0,47.0,67.0,7.0,5.0,338.0,8.0,14.0,5.082950935404165,7.094952347334981,4.977056124249912
LAA,2019,7,91.0,6.0,5.0,133.32999999999998,124.0,63.0,59.0,49.0,132.0,14.0,5.0,499.0,0.0,15.0,3.9825995649891253,8.91022275556889,3.3075826895672393
LAD,2019,7,78.0,1.0,4.0,83.67,73.0,45.0,38.0,31.0,91.0,11.0,6.0,311.0,6.0,10.0,4.087486554320545,9.788454643241305,3.3345285048404447
MIA,2019,7,65.0,2.0,,80.33,72.0,35.0,33.0,28.0,83.0,14.0,6.0,301.0,3.0,7.0,3.697248848499938,9.299141043196814,3.13705962903025
MIL,2019,7,85.0,0.0,6.0,94.66,96.0,65.0,60.0,44.0,118.0,18.0,4.0,370.0,4.0,5.0,5.704627086414536,11.219099936615256,4.183393196703993
MIN,2019,7,80.0,0.0,8.0,96.99,100.0,46.0,44.0,22.0,112.0,12.0,2.0,376.0,0.0,7.0,4.082895143829261,10.392824002474482,2.0414475719146306
NYM,2019,7,73.0,0.0,8.0,67.67,59.0,28.0,27.0,31.0,69.0,8.0,7.0,247.0,1.0,11.0,3.5909561105364265,9.176887838037535,4.122949608393675
NYY,2019,7,80.0,1.0,7.0,98.35000000000001,92.0,39.0,34.0,41.0,107.0,9.0,3.0,376.0,2.0,5.0,3.111337061514997,9.791560752414844,3.7519064565327906
PHI,2019,7,85.0,3.0,4.0,103.66,95.0,65.0,63.0,43.0,104.0,22.0,8.0,392.0,5.0,8.0,5.46980513216284,9.029519583252943,3.7333590584603513
PIT,2019,7,86.0,0.0,2.0,100.33,95.0,50.0,44.0,37.0,98.0,15.0,6.0,380.0,3.0,12.0,3.94697498255756,8.790989733878202,3.319047144423403
SDP,2019,7,73.0,3.0,4.0,103.33,121.0,68.0,64.0,35.0,111.0,15.0,6.0,420.0,3.0,8.0,5.574373366882803,9.668053808187361,3.0484854350140327
SEA,2019,7,76.0,8.0,4.0,116.01,126.0,88.0,74.0,41.0,111.0,33.0,2.0,464.0,1.0,9.0,5.740884406516679,8.61132660977502,3.180760279286268
SFG,2019,7,94.0,2.0,7.0,108.67,94.0,44.0,43.0,30.0,119.0,14.0,4.0,404.0,1.0,14.0,3.561240452746848,9.855525904113371,2.4845863623815223
STL,2019,7,78.0,1.0,11.0,89.67,80.0,37.0,36.0,32.0,94.0,10.0,5.0,338.0,2.0,8.0,3.6132485781197725,9.434593509534961,3.2117765138842422
TBR,2019,7,104.0,5.0,10.0,133.0,128.0,76.0,74.0,48.0,153.0,28.0,1.0,517.0,2.0,7.0,5.007518796992481,10.353383458646617,3.2481203007518795
TEX,2019,7,77.0,6.0,2.0,103.0,110.0,76.0,70.0,49.0,109.0,18.0,9.0,413.0,2.0,9.0,6.116504854368932,9.524271844660195,4.281553398058253
TOR,2019,7,89.0,2.0,4.0,109.0,104.0,46.0,46.0,45.0,109.0,18.0,2.0,412.0,2.0,10.0,3.798165137614679,9.0,3.7155963302752295
WAS,2019,7,82.0,1.0,6.0,80.67,80.0,42.0,40.0,33.0,75.0,12.0,2.0,314.0,1.0,3.0,4.462625511342506,8.367422833767199,3.681666046857568
ARI,2019,8,94.0,0.0,9.0,99.99,104.0,47.0,41.0,37.0,93.0,10.0,6.0,385.0,3.0,11.0,3.6903690369036903,8.370837083708372,3.3303330333033307
ATH,2019,8,85.0,0.0,9.0,81.33,71.0,43.0,42.0,25.0,90.0,14.0,4.0,305.0,2.0,6.0,4.64773146440428,9.959424566580598,2.766506824050166
ATL,2019,8,95.0,0.0,8.0,92.0,111.0,53.0,50.0,28.0,88.0,14.0,3.0,373.0,1.0,8.0,4.891304347826087,8.608695652173914,2.739130434782609
BAL,2019,8,91.0,3.0,4.0,116.0,147.0,97.0,92.0,45.0,100.0,33.0,2.0,475.0,4.0,16.0,7.137931034482759,7.758620689655172,3.4913793103448274
BOS,2019,8,107.0,7.0,5.0,141.01,116.0,72.0,68.0,73.0,154.0,17.0,9.0,518.0,3.0,12.0,4.340117722147366,9.829090135451388,4.659244025246437
CHC,2019,8,94.0,0.0,10.0,95.33,88.0,43.0,41.0,35.0,98.0,13.0,9.0,363.0,2.0,10.0,3.870764712052869,9.252071750760518,3.304311339557327
CHW,2019,8,92.0,2.0,4.0,109.34,110.0,64.0,57.0,56.0,112.0,15.0,6.0,427.0,8.0,9.0,4.691787086153283,9.218950064020486,4.609475032010243
CIN,2019,8,87.0,1.0,9.0,93.33,95.0,61.0,59.0,38.0,110.0,18.0,4.0,367.0,1.0,2.0,5.689488910318226,10.607521697203472,3.664416586306654
CLE,2019,8,89.0,1.0,7.0,88.66,87.0,49.0,44.0,36.0,88.0,12.0,7.0,342.0,7.0,6.0,4.4665012406947895,8.933002481389579,3.6544101060230094
COL,2019,8,89.0,0.0,2.0,106.01,118.0,72.0,63.0,48.0,96.0,21.0,4.0,417.0,1.0,9.0,5.348552023394019,8.150174511838506,4.075087255919253
DET,2019,8,96.0,4.0,4.0,139.67,158.0,91.0,80.0,66.0,136.0,25.0,8.0,558.0,3.0,15.0,5.1550082336937075,8.763513997279302,4.252881792797308
HOU,2019,8,90.0,1.0,8.0,96.34,88.0,40.0,38.0,36.0,101.0,17.0,2.0,360.0,0.0,11.0,3.549927340668466,9.435333194934607,3.3630890595806515
KCR,2019,8,86.0,0.0,4.0,90.32,107.0,64.0,63.0,43.0,81.0,16.0,2.0,361.0,4.0,6.0,6.277679362267493,8.071302037201065,4.284765279007972
LAA,2019,8,90.0,3.0,3.0,104.34,116.0,79.0,72.0,39.0,99.0,21.0,8.0,415.0,2.0,5.0,6.210465784933869,8.53939045428407,3.364002300172513
LAD,2019,8,87.0,0.0,4.0,87.64999999999999,78.0,37.0,34.0,23.0,96.0,13.0,6.0,327.0,0.0,8.0,3.491158014831717,9.857387335995437,2.3616657159155734
MIA,2019,8,91.0,0.0,1.0,99.99,109.0,74.0,70.0,59.0,99.0,30.0,5.0,398.0,4.0,6.0,6.300630063006301,8.910891089108912,5.310531053105311
MIL,2019,8,103.0,1.0,7.0,103.66,102.0,66.0,61.0,59.0,99.0,18.0,10.0,393.0,2.0,10.0,5.296160524792591,8.59540806482732,5.1225159174223425
MIN,2019,8,85.0,0.0,9.0,96.34,99.0,43.0,38.0,20.0,102.0,10.0,2.0,380.0,1.0,8.0,3.549927340668466,9.528752335478513,1.86838281087814
NYM,2019,8,89.0,0.0,5.0,90.66,75.0,40.0,40.0,34.0,110.0,13.0,5.0,329.0,1.0,10.0,3.970880211780278,10.919920582395765,3.3752481800132363
NYY,2019,8,87.0,4.0,13.0,118.33,101.0,63.0,63.0,57.0,131.0,21.0,4.0,441.0,1.0,13.0,4.791684272796417,9.963660948195724,4.3353333896729485
PHI,2019,8,98.0,2.0,5.0,115.32,129.0,61.0,53.0,38.0,93.0,16.0,5.0,452.0,5.0,14.0,4.136316337148804,7.258064516129033,2.9656607700312176
PIT,2019,8,91.0,0.0,3.0,101.67,113.0,75.0,63.0,45.0,133.0,22.0,7.0,406.0,1.0,8.0,5.576866332251401,11.773384479197402,3.9834759516081437
SDP,2019,8,93.0,2.0,9.0,107.99,113.0,62.0,55.0,42.0,114.0,10.0,8.0,426.0,1.0,10.0,4.583757755347717,9.50087971108436,3.5003241040837114
SEA,2019,8,85.0,5.0,5.0,140.32,128.0,70.0,67.0,41.0,116.0,23.0,2.0,531.0,5.0,15.0,4.2973204104903076,7.440136830102623,2.629703534777651
SFG,2019,8,97.0,0.0,5.0,96.33,97.0,54.0,53.0,47.0,75.0,17.0,5.0,366.0,3.0,12.0,4.95172843350981,7.007162877608222,4.391155403301152
STL,2019,8,84.0,0.0,7.0,86.34,64.0,35.0,32.0,41.0,80.0,4.0,2.0,313.0,4.0,9.0,3.3356497567755383,8.339124391938846,4.273801250868659
TBR,2019,8,102.0,11.0,9.0,151.00000000000003,146.0,84.0,73.0,51.0,175.0,23.0,11.0,578.0,4.0,11.0,4.350993377483443,10.430463576158937,3.039735099337748
TEX,2019,8,79.0,2.0,5.0,102.67,100.0,51.0,47.0,45.0,105.0,13.0,6.0,396.0,1.0,9.0,4.119996104022596,9.20424661536963,3.944677120872699
TOR,2019,8,101.0,2.0,8.0,128.32999999999998,116.0,67.0,65.0,78.0,113.0,20.0,7.0,481.0,4.0,12.0,4.558559962596432,7.924881165744566,5.4702719551157175
