#,Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,top100,top20,Top50_Indicator
53,2018,Jordan Luplow,PIT,37,103,3,16,7,2,0.097,0.175,0.174,0.197,0.185,0.272,0.359,0.277,0.296,71.0,-0.1,-3.7,3.4,0.3,,,0
54,2018,Chad Wallach,MIA,15,52,1,4,5,0,0.077,0.442,0.089,0.333,0.178,0.275,0.267,0.25,0.224,58.0,-0.2,-2.8,4.0,0.3,,,0
55,2018,Billy McKinney,2 Tms,38,132,6,14,13,1,0.083,0.25,0.21,0.296,0.252,0.318,0.462,0.335,0.337,111.0,-0.7,1.0,-2.8,0.3,,,0
56,2018,Renato Núñez,2 Tms,73,261,8,28,22,0,0.073,0.238,0.161,0.315,0.258,0.322,0.419,0.322,0.287,101.0,-1.0,-0.7,-5.6,0.3,,,0
57,2018,Patrick Wisdom,STL,32,58,4,11,10,2,0.103,0.328,0.26,0.333,0.26,0.362,0.52,0.379,0.344,142.0,0.1,3.1,-2.2,0.3,,,0
58,2018,Cam Gallagher,KCR,22,69,1,5,7,0,0.043,0.217,0.095,0.25,0.206,0.25,0.302,0.242,0.27,46.0,-0.7,-5.1,5.1,0.2,,,0
59,2018,Alex Verdugo,LAD,37,86,1,11,4,0,0.093,0.163,0.117,0.306,0.26,0.329,0.377,0.311,0.313,98.0,0.4,0.1,-0.4,0.2,1.0,,1
60,2018,José Rondón,CHW,42,107,6,15,14,2,0.065,0.28,0.24,0.266,0.23,0.28,0.47,0.319,0.304,102.0,-0.5,-0.2,-1.1,0.2,,,0
61,2018,Richard Urena,TOR,40,108,1,10,6,2,0.065,0.296,0.071,0.424,0.293,0.34,0.364,0.311,0.277,94.0,-0.5,-1.2,-0.4,0.2,1.0,,0
62,2018,Myles Straw,HOU,9,10,1,4,1,2,0.1,0.0,0.333,0.25,0.333,0.4,0.667,0.448,0.396,193.0,0.6,1.7,0.0,0.2,,,0
63,2018,J.P. Crawford,PHI,49,138,3,17,12,2,0.094,0.268,0.179,0.286,0.214,0.319,0.393,0.313,0.294,95.0,0.8,0.0,-2.2,0.2,1.0,1.0,1
64,2018,Isaac Galloway,MIA,43,74,3,7,7,1,0.122,0.284,0.188,0.25,0.203,0.301,0.391,0.304,0.29,94.0,-0.1,-0.6,0.3,0.2,,,0
65,2018,Kyle Higashioka,NYY,29,79,3,6,6,0,0.076,0.203,0.153,0.17,0.167,0.241,0.319,0.248,0.308,52.0,-0.3,-4.8,4.0,0.2,,,0
66,2018,Lane Adams,ATL,26,29,2,10,6,1,0.138,0.276,0.28,0.267,0.24,0.345,0.52,0.369,0.374,130.0,0.3,1.4,-0.4,0.2,,,0
67,2018,Luis Urías,SDP,12,53,2,5,5,1,0.057,0.189,0.146,0.216,0.208,0.264,0.354,0.269,0.274,68.0,0.3,-1.8,1.9,0.2,1.0,,1
68,2018,Phillip Ervin,CIN,78,247,7,27,31,6,0.081,0.243,0.151,0.31,0.252,0.324,0.404,0.315,0.305,94.0,1.1,-0.8,-5.0,0.2,,,0
69,2018,Garrett Hampson,COL,24,48,0,3,4,2,0.146,0.25,0.125,0.393,0.275,0.396,0.4,0.355,0.323,109.0,0.7,1.2,-1.0,0.2,,,0
70,2018,Andrew Velazquez,TBR,13,12,0,3,0,1,0.083,0.25,0.1,0.429,0.3,0.417,0.4,0.368,0.235,138.0,0.4,1.0,0.3,0.2,,,0
71,2018,Michael Pérez,TBR,24,80,1,9,11,0,0.038,0.238,0.108,0.357,0.284,0.304,0.392,0.298,0.254,90.0,-0.4,-1.4,0.3,0.2,,,0
72,2018,Mason Williams,CIN,51,132,2,10,6,1,0.053,0.22,0.106,0.37,0.293,0.331,0.398,0.315,0.282,94.0,-0.1,-1.1,-1.3,0.2,,,0
73,2018,Garrett Cooper,MIA,14,38,0,2,2,0,0.105,0.316,0.03,0.333,0.212,0.316,0.242,0.263,0.261,67.0,0.1,-1.4,1.8,0.2,,,0
74,2018,Kyle Farmer,LAD,39,77,0,1,9,0,0.065,0.195,0.088,0.296,0.235,0.312,0.324,0.278,0.285,76.0,-0.1,-2.4,1.3,0.1,,,0
75,2018,Tim Locastro,LAD,18,14,0,6,0,4,0.143,0.357,0.091,0.333,0.182,0.357,0.273,0.302,0.21,91.0,0.9,0.8,0.1,0.1,,,0
76,2018,Dwight Smith Jr.,TOR,35,75,2,9,8,0,0.093,0.173,0.215,0.294,0.262,0.347,0.477,0.353,0.289,123.0,0.1,2.1,-3.5,0.1,,,0
77,2018,Daniel Vogelbach,SEA,37,102,4,9,13,0,0.127,0.255,0.161,0.246,0.207,0.324,0.368,0.31,0.362,98.0,-0.4,-0.7,-1.8,0.1,,,0
78,2018,Matt Skole,CHW,4,13,1,2,1,0,0.154,0.231,0.273,0.286,0.273,0.385,0.545,0.398,0.422,156.0,0.0,0.9,-0.3,0.1,,,0
79,2018,Mark Zagunis,CHC,5,6,0,0,1,0,0.167,0.167,0.2,0.5,0.4,0.5,0.6,0.469,0.337,200.0,0.0,0.7,0.1,0.1,,,0
80,2018,Spencer Kieboom,WSN,52,143,2,16,13,0,0.112,0.196,0.088,0.281,0.232,0.322,0.32,0.29,0.273,77.0,-0.2,-4.2,0.7,0.1,,,0
81,2018,Christin Stewart,DET,17,72,2,7,10,0,0.139,0.181,0.15,0.304,0.267,0.375,0.417,0.348,0.347,119.0,0.0,1.6,-3.2,0.1,,,0
82,2018,Alex Blandino,CIN,69,147,1,14,8,0,0.088,0.279,0.055,0.337,0.234,0.324,0.289,0.279,0.264,70.0,-0.7,-6.1,2.5,0.1,,,0
83,2018,Austin Wynns,BAL,42,118,4,16,11,0,0.042,0.212,0.127,0.296,0.255,0.287,0.382,0.291,0.304,81.0,-0.1,-2.8,-0.5,0.1,,,0
84,2018,Terrance Gore,CHC,14,5,0,5,0,6,0.0,0.2,0.0,0.25,0.2,0.2,0.2,0.176,0.114,4.0,1.4,0.8,-0.2,0.1,,,0
85,2018,Cedric Mullins,BAL,45,191,4,23,11,2,0.089,0.194,0.124,0.279,0.235,0.312,0.359,0.298,0.275,86.0,-0.1,-3.2,-2.6,0.1,,,0
86,2018,Juan Graterol,2 Tms,4,9,0,2,0,0,0.111,0.0,0.0,0.25,0.25,0.333,0.25,0.272,0.273,68.0,0.0,-0.4,0.7,0.1,,,0
87,2018,Tzu-Wei Lin,BOS,37,73,1,15,6,0,0.11,0.233,0.169,0.319,0.246,0.329,0.415,0.324,0.327,100.0,0.2,0.2,-2.0,0.1,,,0
88,2018,Harold Castro,DET,6,10,0,2,0,1,0.0,0.2,0.0,0.375,0.3,0.3,0.3,0.264,0.298,61.0,0.2,-0.2,0.4,0.1,,,0
89,2018,Beau Taylor,OAK,7,6,0,0,0,0,0.167,0.333,0.2,0.333,0.2,0.333,0.4,0.323,0.168,107.0,-0.2,-0.1,0.4,0.0,,,0
90,2018,Jake Bauers,TBR,96,388,11,48,48,6,0.139,0.268,0.183,0.252,0.201,0.316,0.384,0.308,0.306,97.0,-0.8,-2.4,-10.4,0.0,1.0,,1
91,2018,Jacob Nottingham,MIL,9,24,0,2,0,0,0.167,0.333,0.05,0.333,0.2,0.333,0.25,0.277,0.219,70.0,-0.2,-1.0,0.7,0.0,,,0
92,2018,José Miguel Fernández,LAA,36,123,2,9,11,1,0.049,0.122,0.121,0.293,0.267,0.309,0.388,0.304,0.313,91.0,-0.5,-1.8,-2.1,0.0,,,0
93,2018,David Freitas,SEA,36,106,1,9,5,0,0.075,0.236,0.097,0.284,0.215,0.277,0.312,0.262,0.299,65.0,0.3,-4.1,0.6,0.0,,,0
94,2018,Adrián Sanchez,WSN,28,59,0,8,3,0,0.017,0.136,0.069,0.32,0.276,0.288,0.345,0.275,0.301,67.0,0.2,-2.2,0.5,0.0,,,0
95,2018,Ildemaro Vargas,ARI,14,20,1,2,4,1,0.05,0.2,0.158,0.214,0.211,0.25,0.368,0.268,0.292,63.0,0.1,-0.8,0.3,0.0,,,0
96,2018,Taylor Davis,CHC,5,6,0,0,2,0,0.0,0.167,0.0,0.4,0.4,0.333,0.4,0.293,0.244,82.0,0.0,-0.1,0.0,0.0,,,0
97,2018,Tony Renda,BOS,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0
98,2018,Nate Orf,MIL,15,25,1,4,1,1,0.12,0.32,0.143,0.083,0.095,0.24,0.238,0.228,0.237,37.0,0.2,-1.7,0.9,0.0,,,0
99,2018,Edmundo Sosa,STL,3,3,0,1,0,0,0.333,0.333,0.0,0.0,0.0,0.333,0.0,0.23,0.232,42.0,0.0,-0.2,0.1,0.0,,,0
100,2018,John Andreoli,2 Tms,26,67,0,4,4,2,0.075,0.284,0.033,0.326,0.23,0.284,0.262,0.246,0.219,51.0,0.5,-3.4,1.0,0.0,,,0
101,2018,Yairo Muñoz,STL,108,329,8,39,42,5,0.091,0.216,0.137,0.338,0.276,0.35,0.413,0.326,0.297,107.0,-1.6,1.1,-11.3,0.0,,,0
102,2018,Darnell Sweeney,TOR,2,4,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.345,0.412,118.0,-0.1,0.0,-0.3,0.0,,,0
103,2018,Grayson Greiner,DET,30,116,0,9,12,0,0.147,0.276,0.063,0.313,0.219,0.328,0.281,0.279,0.329,72.0,-0.9,-4.8,0.7,0.0,,,0
104,2018,Michael Reed,ATL,7,7,0,1,0,0,0.0,0.429,0.0,0.5,0.286,0.286,0.286,0.251,0.391,51.0,0.0,-0.4,0.0,0.0,,,0
105,2018,Justin Williams,TBR,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,-100.0,0.0,-0.3,0.0,0.0,,,0
106,2018,Mike Freeman,CHC,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-100.0,0.0,-0.3,0.0,0.0,,,0
107,2018,Jack Reinheimer,NYM,21,35,0,4,0,1,0.143,0.257,0.0,0.238,0.167,0.286,0.167,0.224,0.23,40.0,0.2,-2.3,1.0,0.0,,,0
108,2018,Miguel Gómez,SFG,9,15,0,3,1,0,0.0,0.333,0.0,0.4,0.267,0.267,0.267,0.235,0.186,45.0,-0.3,-1.3,0.5,0.0,,,0
109,2018,Joe Hudson,LAA,8,12,0,0,1,0,0.0,0.0,0.083,0.167,0.167,0.167,0.25,0.177,0.386,5.0,0.0,-1.4,0.6,0.0,,,0
110,2018,Michael Hermosillo,LAA,31,62,1,7,1,0,0.048,0.274,0.123,0.282,0.211,0.274,0.333,0.269,0.249,67.0,-0.4,-2.9,0.4,0.0,,,0
111,2018,Nolan Fontana,LAA,8,12,1,1,1,0,0.083,0.5,0.273,0.0,0.091,0.167,0.364,0.227,0.185,38.0,0.0,-0.9,0.1,0.0,,,0
112,2018,Aristides Aquino,CIN,1,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-0.2,-0.4,0.0,0.0,,,0
113,2018,Rocky Gale,LAD,3,2,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.051,-100.0,0.0,-0.5,0.0,0.0,,,0
114,2018,Dustin Peterson,ATL,2,2,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-0.5,0.0,0.0,,,0
115,2018,Max Moroff,PIT,26,67,3,7,9,0,0.104,0.358,0.169,0.25,0.186,0.284,0.356,0.278,0.295,72.0,0.0,-2.2,-0.3,-0.1,,,0
116,2018,Abiatal Avelino,SFG,6,11,0,1,0,0,0.0,0.273,0.0,0.375,0.273,0.273,0.273,0.24,0.265,49.0,0.2,-0.5,-0.4,-0.1,,,0
117,2018,Christopher Bostick,2 Tms,15,18,0,0,2,0,0.111,0.389,0.063,0.333,0.188,0.278,0.25,0.244,0.265,55.0,-0.1,-1.1,0.0,-0.1,,,0
118,2018,Breyvic Valera,2 Tms,32,75,0,8,8,1,0.093,0.173,0.031,0.283,0.234,0.301,0.266,0.256,0.281,60.0,-0.5,-4.2,1.1,-0.1,,,0
119,2018,Jose Trevino,TEX,3,8,0,0,3,0,0.0,0.125,0.0,0.286,0.25,0.25,0.25,0.22,0.161,24.0,0.0,-0.7,-0.1,-0.1,,,0
120,2018,Dan Butler,BOS,2,7,0,0,1,0,0.0,0.286,0.0,0.2,0.167,0.143,0.167,0.126,0.211,-36.0,0.0,-1.1,0.3,-0.1,,,0
121,2018,AJ Reed,HOU,1,3,0,0,0,0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.018,-100.0,0.0,-0.8,0.1,-0.1,,,0
122,2018,Engelb Vielma,BAL,6,8,0,1,0,0,0.125,0.5,0.0,0.333,0.143,0.25,0.143,0.196,0.183,17.0,0.0,-0.8,-0.2,-0.1,,,0
123,2018,Jon Berti,TOR,4,15,0,2,2,1,0.0,0.267,0.2,0.364,0.267,0.267,0.467,0.306,0.352,91.0,0.3,0.2,-1.4,-0.1,,,0
124,2018,Zach Vincej,SEA,1,4,0,0,1,0,0.0,0.25,0.0,0.667,0.5,0.5,0.5,0.44,0.411,187.0,0.0,0.4,-1.2,-0.1,,,0
125,2018,Jonathan Davis,TOR,20,27,0,3,0,3,0.037,0.222,0.04,0.263,0.2,0.259,0.24,0.229,0.306,38.0,0.6,-1.4,-0.3,-0.1,,,0
126,2018,Francisco Mejía,2 Tms,21,62,3,6,8,0,0.081,0.306,0.196,0.206,0.179,0.258,0.375,0.277,0.258,73.0,0.4,-1.6,-1.1,-0.1,1.0,1.0,1
127,2018,Steven Baron,STL,2,5,0,0,0,0,0.0,0.4,0.0,0.333,0.2,0.2,0.2,0.176,0.177,6.0,0.0,-0.6,-0.4,-0.1,,,0
128,2018,Meibrys Viloria,KCR,10,29,0,4,4,0,0.034,0.31,0.074,0.389,0.259,0.286,0.333,0.271,0.289,66.0,0.1,-1.1,-0.7,-0.1,,,0
129,2018,Gabriel Guerrero,CIN,14,18,1,1,1,0,0.0,0.444,0.167,0.222,0.167,0.167,0.333,0.211,0.264,24.0,0.0,-1.7,0.3,-0.1,,,0
130,2018,Blake Trahan,CIN,11,14,0,2,0,0,0.0,0.286,0.0,0.3,0.214,0.214,0.214,0.188,0.146,9.0,0.1,-1.4,0.1,-0.1,,,0
131,2018,Dylan Cozens,PHI,26,44,1,2,2,1,0.136,0.545,0.132,0.385,0.158,0.273,0.289,0.257,0.249,57.0,0.2,-2.1,-0.1,-0.1,,,0
132,2018,Daniel Palka,CHW,124,449,27,56,67,2,0.067,0.341,0.245,0.308,0.24,0.294,0.484,0.329,0.312,109.0,-1.3,3.4,-19.8,-0.1,,,0
133,2018,Kevin Kaczmarski,NYM,4,5,0,0,0,0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.138,0.274,-17.0,-0.4,-1.1,-0.1,-0.1,,,0
134,2018,Austin Slater,SFG,74,225,1,21,23,7,0.089,0.307,0.055,0.377,0.251,0.333,0.307,0.287,0.264,80.0,1.7,-3.7,-4.4,-0.1,,,0
135,2018,Mitch Walding,PHI,13,19,1,1,2,0,0.105,0.632,0.176,0.0,0.059,0.158,0.235,0.179,0.214,6.0,0.0,-2.2,0.4,-0.1,,,0
136,2018,Ryan McMahon,COL,91,202,5,17,19,1,0.089,0.317,0.144,0.327,0.232,0.307,0.376,0.296,0.274,69.0,0.4,-7.1,-0.4,-0.1,1.0,,0
137,2018,Rafael Bautista,WSN,9,6,0,1,0,0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.053,-100.0,0.0,-1.6,0.1,-0.1,,,0
138,2018,Nick Ciuffo,TBR,16,44,1,3,5,0,0.068,0.273,0.108,0.24,0.189,0.262,0.297,0.249,0.187,57.0,0.0,-2.3,-0.5,-0.1,,,0
139,2018,Yadiel Rivera,MIA,111,160,1,13,9,2,0.119,0.319,0.043,0.258,0.173,0.269,0.216,0.219,0.247,37.0,0.3,-11.9,5.7,-0.1,,,0
140,2018,Corban Joseph,BAL,14,19,0,1,3,0,0.053,0.263,0.056,0.308,0.222,0.263,0.278,0.241,0.19,47.0,0.0,-1.2,-0.8,-0.1,,,0
141,2018,Jacob Stallings,PIT,14,41,0,2,5,0,0.073,0.22,0.0,0.276,0.216,0.268,0.216,0.222,0.26,35.0,0.2,-3.0,0.3,-0.2,,,0
142,2018,Christian Walker,ARI,37,53,3,6,6,1,0.057,0.415,0.224,0.208,0.163,0.226,0.388,0.264,0.3,61.0,0.2,-2.3,-0.8,-0.2,,,0
143,2018,Anthony Alford,TOR,13,21,0,3,1,1,0.095,0.429,0.0,0.2,0.105,0.19,0.105,0.149,0.204,-16.0,0.2,-2.7,0.5,-0.2,1.0,,1
144,2018,Phillip Evans,NYM,15,23,0,1,1,1,0.087,0.348,0.0,0.231,0.143,0.217,0.143,0.175,0.214,7.0,0.3,-2.3,0.0,-0.2,,,0
145,2018,Erik González,CLE,81,143,1,17,16,3,0.035,0.238,0.11,0.347,0.265,0.301,0.375,0.294,0.279,81.0,1.0,-2.2,-4.3,-0.2,,,0
146,2018,Andrew Stevenson,WSN,57,86,1,9,13,1,0.07,0.267,0.067,0.333,0.253,0.306,0.32,0.276,0.3,68.0,0.1,-3.3,-1.0,-0.2,,,0
147,2018,Tyler Wade,NYY,36,70,1,8,5,1,0.057,0.329,0.106,0.238,0.167,0.214,0.273,0.215,0.209,30.0,0.9,-4.9,0.8,-0.2,,,0
148,2018,Raffy Lopez,SDP,37,117,3,11,13,1,0.111,0.368,0.108,0.259,0.176,0.265,0.284,0.236,0.236,46.0,-0.2,-7.9,2.6,-0.2,,,0
149,2018,Alfredo González,CHW,3,9,0,0,1,0,0.0,0.444,0.0,0.2,0.111,0.111,0.111,0.098,0.206,-49.0,0.0,-1.6,-0.5,-0.2,,,0
150,2018,Luis Guillorme,NYM,35,74,0,4,5,1,0.095,0.041,0.03,0.219,0.209,0.284,0.239,0.242,0.335,52.0,0.5,-3.9,-0.2,-0.2,,,0
