mlb_id,fielding_runs,Month,Year,innings,CompDate
425772,0.9,08,2017,79.11166666666666,2017-08-31
425772,0.5,06,2017,79.11166666666666,2017-06-30
425772,0.3,09,2017,79.11166666666666,2017-09-30
455104,0.1,09,2017,105.61166666666666,2017-09-30
455755,0.2,04,2017,59.11166666666667,2017-04-30
455755,0.2,09,2017,59.11166666666667,2017-09-30
454560,0.5,08,2017,54.833333333333336,2017-08-31
501303,-1.0,09,2017,82.066,2017-09-30
645277,1.0,09,2017,248.665,2017-09-30
641313,-1.0,09,2017,210.66666666666666,2017-09-30
542921,-1.0,09,2017,198.22166666666666,2017-09-30
593528,1.0,09,2017,134.66666666666666,2017-09-30
608324,0.0,09,2017,219.38833333333332,2017-09-30
542979,2.0,09,2017,171.44500000000002,2017-09-30
592178,1.0,09,2017,214.61166666666668,2017-09-30
466320,-3.0,09,2017,204.44500000000002,2017-09-30
456715,1.0,09,2017,212.5,2017-09-30
641432,-1.0,09,2017,74.0,2017-09-30
592192,0.0,09,2017,77.866,2017-09-30
502082,0.0,09,2017,109.8,2017-09-30
547170,-1.0,09,2017,124.665,2017-09-30
518614,-1.0,09,2017,125.445,2017-09-30
646240,-6.0,09,2017,169.22333333333333,2017-09-30
541645,2.0,09,2017,186.66666666666666,2017-09-30
571697,-3.0,09,2017,156.27833333333334,2017-09-30
434158,-1.0,09,2017,163.38833333333335,2017-09-30
493329,-1.0,09,2017,194.22166666666666,2017-09-30
588751,-1.0,09,2017,135.555,2017-09-30
623182,1.0,09,2017,76.1675,2017-09-30
446334,0.0,09,2017,206.66666666666666,2017-09-30
408045,2.0,09,2017,173.44500000000002,2017-09-30
571976,-3.0,09,2017,222.22166666666666,2017-09-30
596059,2.0,09,2017,227.72166666666666,2017-09-30
592620,1.0,09,2017,124.33333333333333,2017-09-30
606299,1.0,09,2017,173.5,2017-09-30
640461,-1.0,09,2017,142.6675,2017-09-30
593871,1.0,09,2017,186.61166666666668,2017-09-30
572041,-2.0,09,2017,174.666,2017-09-30
448602,0.0,09,2017,195.55499999999998,2017-09-30
621002,1.0,09,2017,115.266,2017-09-30
446481,1.0,09,2017,108.89,2017-09-30
572122,0.0,09,2017,225.55499999999998,2017-09-30
519295,1.0,09,2017,66.0,2017-09-30
500208,-3.0,09,2017,205.13400000000001,2017-09-30
545361,-3.0,09,2017,189.6,2017-09-30
607208,-1.0,09,2017,169.334,2017-09-30
400284,-2.0,09,2017,110.27833333333332,2017-09-30
458015,-1.0,09,2017,231.94500000000002,2017-09-30
643603,0.0,09,2017,71.5,2017-09-30
608384,-1.0,09,2017,228.33333333333334,2017-09-30
592885,-2.0,09,2017,228.11166666666668,2017-09-30
546991,2.0,08,2017,107.38833333333334,2017-08-31
475174,-2.0,08,2017,178.33333333333334,2017-08-31
571448,2.0,08,2017,223.88833333333332,2017-08-31
542921,-1.0,08,2017,198.22166666666666,2017-08-31
605137,-3.0,08,2017,197.72166666666666,2017-08-31
453923,-1.0,08,2017,98.8,2017-08-31
460075,1.0,08,2017,199.5825,2017-08-31
542979,1.0,08,2017,171.44500000000002,2017-08-31
466320,0.0,08,2017,204.44500000000002,2017-08-31
592192,1.0,08,2017,77.866,2017-08-31
429664,0.0,08,2017,214.44500000000002,2017-08-31
425783,-1.0,08,2017,129.534,2017-08-31
446359,0.0,08,2017,161.33333333333334,2017-08-31
543063,1.0,08,2017,200.16666666666666,2017-08-31
572816,-3.0,08,2017,125.5,2017-08-31
641553,5.0,08,2017,200.0,2017-08-31
451594,0.0,08,2017,155.555,2017-08-31
520471,0.0,08,2017,228.33333333333334,2017-08-31
571697,2.0,08,2017,156.27833333333334,2017-08-31
502671,0.0,08,2017,215.33333333333334,2017-08-31
544369,-3.0,08,2017,195.77833333333334,2017-08-31
571740,3.0,08,2017,195.88833333333332,2017-08-31
624507,-1.0,08,2017,181.0,2017-08-31
595281,2.0,08,2017,165.934,2017-08-31
543401,0.0,08,2017,115.27833333333332,2017-08-31
592518,0.0,08,2017,228.33333333333334,2017-08-31
543484,1.0,08,2017,131.33333333333334,2017-08-31
547982,1.0,08,2017,100.11,2017-08-31
502110,-1.0,08,2017,189.134,2017-08-31
457705,0.0,08,2017,217.27833333333334,2017-08-31
519048,0.0,08,2017,195.16666666666666,2017-08-31
607043,1.0,08,2017,130.55666666666667,2017-08-31
456488,-1.0,08,2017,158.0,2017-08-31
592626,0.0,08,2017,112.77833333333332,2017-08-31
517369,2.0,08,2017,161.1675,2017-08-31
